Population,Process ID,Treatment,Image ID,Slide ID,Placenta ID,WP Area,LZ Area,LZ Perimiter,# FBs,Area FBS,Perimiter FBS,Total FBS Area,WPArea_sqmm,Lzarea_sqmm,FBSarea_sqmm,FBSperimeter_mm,FBStotal_sqmm,Notes,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,10944,876.254,366720,12.5046905,5.413291469,0.004675125,0.572715033,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,84336,3360.837,366720,12.5046905,5.413291469,0.036027169,2.19662549,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,49269,2085.088,366720,12.5046905,5.413291469,0.021047033,1.362802614,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,6897,607.871,366720,12.5046905,5.413291469,0.002946303,0.397301307,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,7812,366.263,366720,12.5046905,5.413291469,0.003337178,0.239387582,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,26700,1139.698,366720,12.5046905,5.413291469,0.01140587,0.744900654,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,41937,1681.721,366720,12.5046905,5.413291469,0.017914905,1.099164052,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,16836,609.763,366720,12.5046905,5.413291469,0.007192106,0.398537908,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,30888,1102.819,366720,12.5046905,5.413291469,0.013194925,0.720796732,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,68838,2137.643,366720,12.5046905,5.413291469,0.029406638,1.397152288,0.156657696,,
ME,1838,1N,ME39,B1,P3,29272230,12671974,36405.2,11,22263,1277.786,366720,12.5046905,5.413291469,0.009510445,0.835154248,0.156657696,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,18939,1182.512,411824,13.43440472,5.436563715,0.008090478,0.77288366,0.175925499,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,10158,387.274,411824,13.43440472,5.436563715,0.004339357,0.253120261,0.175925499,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,31542,1393.71,411824,13.43440472,5.436563715,0.013474305,0.910921569,0.175925499,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,8259,752.969,411824,13.43440472,5.436563715,0.00352813,0.492136601,0.175925499,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,21507,919.293,411824,13.43440472,5.436563715,0.009187492,0.600845098,0.175925499,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,20556,972.503,411824,13.43440472,5.436563715,0.008781238,0.635622876,0.175925499,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,27567,1657.949,411824,13.43440472,5.436563715,0.01177624,1.083626797,0.175925499,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,55194,1655.14,411824,13.43440472,5.436563715,0.023578111,1.08179085,0.175925499,,
ME,1946,1N,ME39,B1,P4,31448598,12726452,33562.1,14,54225,1281.655,411824,13.43440472,5.436563715,0.023164168,0.837683007,0.175925499,,
