Population,Treatment,ImageID,SlideID,PlacentaID,Image_Replicate,Blood_Space_Type,NBS,Pm_BS,Area_BS,Counter,Space #,,
Lowlander,Hypoxic,BW15,A2,P1,a,Fetal,4,303.601,935.686,KK,1,,
Lowlander,Hypoxic,BW15,A2,P1,a,Fetal,4,332.124,1372.966,KK,2,,
Lowlander,Hypoxic,BW15,A2,P1,a,Fetal,4,50.622,141.741,KK,3,,
Lowlander,Hypoxic,BW15,A2,P1,a,Fetal,4,312.088,988.486,KK,4,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,41.86,74.59,KK,1,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,101.71,384.4,KK,2,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,83.829,206.2,KK,3,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,164.043,795.373,KK,4,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,63.773,174.446,KK,5,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,95.073,466.442,KK,6,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,29.916,54.65,KK,7,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,346.039,1885.888,KK,8,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,21.059,13.087,KK,9,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,58.284,175.821,KK,10,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,254.516,1040.941,KK,11,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,45.553,133.545,KK,12,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,68.714,290.013,KK,13,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,12.44,7.403,KK,14,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,10.8,5.288,KK,15,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,14.631,9.042,KK,16,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,47.828,97.931,KK,17,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,14.305,13.114,KK,18,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,426.168,2679.093,KK,19,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,48.795,130.134,KK,20,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,94.305,372.397,KK,21,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,62.459,98.381,KK,22,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,42.383,106.683,KK,23,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,31.56,41.615,KK,24,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,11.22,6.742,KK,25,,
Lowlander,Hypoxic,BW15,A2,P1,a,Maternal,26,19.617,24.166,KK,26,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,122.429,296.226,KK,1,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,427.161,1803.953,KK,2,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,87.067,165.14,KK,3,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,239.509,819.777,KK,4,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,127.097,420.755,KK,5,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,238.45,1683.945,KK,6,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,39.78,76.542,KK,7,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,152.534,359.786,KK,8,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,98.965,347.518,KK,9,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,39.692,64.353,KK,10,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,94.622,264.789,KK,11,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,42.284,77.176,KK,12,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,39.389,37.385,KK,13,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,19.87,10.523,KK,14,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,18.329,13.616,KK,15,,
Lowlander,Hypoxic,BW16,B1,P1,a,Fetal,16,90.208,224.02,KK,16,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,29.477,52.165,KK,1,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,48.298,111.257,KK,2,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,17.802,16.472,KK,3,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,67.813,204.138,KK,4,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,49.829,103.695,KK,5,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,51.25,154.405,KK,6,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,27.656,18.666,KK,7,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,78.578,236.737,KK,8,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,60.722,165.51,KK,9,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,26.238,19.935,KK,10,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,70.126,222.064,KK,11,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,56.383,192.875,KK,12,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,68.642,193.509,KK,13,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,177.94,1208.328,KK,14,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,191.182,501.025,KK,15,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,76.093,123.392,KK,16,,
Lowlander,Hypoxic,BW16,B1,P1,a,Maternal,26,637.969,3696.768,KK,17,,
