Population,Treatment,DamID,SlideID,PlacentaID,Image_Replicate,Points_No_Category,Points_MaternalBloodVolume,Points_FetalBloodVolume,Points_Tissue,Points_NucleiClump,TotalPoints,Pct_MaternalBloodVolume,Pct_FetalBloodVolume,Pct_Tissue,Pct_NucleiClump,Pct_TissNuc,Sum,Counter,Concat
1Lowlander,2Hypoxic,BW22,C1,P2,b,2,159,33,187,19,400,39.75,8.25,46.75,4.75,51.5,99.5,KK,BW22C1P2b
1Lowlander,1Normoxic,BW2,C1,P3,b,2,87,44,245,22,400,21.75,11,61.25,5.5,66.75,99.5,KK,BW2C1P3b
1Lowlander,2Hypoxic,BW15,A2,P1,c,2,146,45,182,25,400,36.5,11.25,45.5,6.25,51.75,99.5,KK,BW15A2P1c
1Lowlander,2Hypoxic,BW16,B1,P2,c,2,162,49,161,26,400,40.5,12.25,40.25,6.5,46.75,99.5,KK,BW16B1P2c
1Lowlander,1Normoxic,BW26,C1,P2,c,2,121,49,203,25,400,30.25,12.25,50.75,6.25,57,99.5,KK,BW26C1P2c
1Lowlander,2Hypoxic,BW28,A1,P1,c,2,146,49,190,13,400,36.5,12.25,47.5,3.25,50.75,99.5,KK,BW28A1P1c
1Lowlander,1Normoxic,BW38,A1,P2,c,2,135,49,198,16,400,33.75,12.25,49.5,4,53.5,99.5,KK,BW38A1P2c
1Lowlander,1Normoxic,BW38,A1,P3,c,2,127,51,198,22,400,31.75,12.75,49.5,5.5,55,99.5,KK,BW38A1P3c
1Lowlander,2Hypoxic,BW16,B1,P1,c,2,168,52,152,26,400,42,13,38,6.5,44.5,99.5,KK,BW16B1P1c
1Lowlander,1Normoxic,BW2,C1,P2,c,2,111,52,204,31,400,27.75,13,51,7.75,58.75,99.5,KK,BW2C1P2c
1Lowlander,1Normoxic,BW38,A1,P3,b,2,127,54,197,20,400,31.75,13.5,49.25,5,54.25,99.5,KK,BW38A1P3b
1Lowlander,2Hypoxic,BW22,C1,P1,b,2,126,56,187,29,400,31.5,14,46.75,7.25,54,99.5,KK,BW22C1P1b
1Lowlander,2Hypoxic,BW22,C1,P1,c,2,151,56,175,16,400,37.75,14,43.75,4,47.75,99.5,KK,BW22C1P1c
1Lowlander,2Hypoxic,BW22,C1,P2,c,2,149,56,176,17,400,37.25,14,44,4.25,48.25,99.5,KK,BW22C1P2c
1Lowlander,1Normoxic,BW38,A1,P1,c,2,160,56,154,28,400,40,14,38.5,7,45.5,99.5,KK,BW38A1P1c
1Lowlander,2Hypoxic,BW28,A1,P1,a,2,75,57,224,42,400,18.75,14.25,56,10.5,66.5,99.5,KK,BW28A1P1a
1Lowlander,1Normoxic,BW30,C1,P1,c,2,85,58,235,20,400,21.25,14.5,58.75,5,63.75,99.5,KK,BW30C1P1c
1Lowlander,2Hypoxic,BW28,A1,P1,b,2,87,59,223,29,400,21.75,14.75,55.75,7.25,63,99.5,KK,BW28A1P1b
1Lowlander,1Normoxic,BW2,C1,P3,c,2,107,60,213,18,400,26.75,15,53.25,4.5,57.75,99.5,KK,BW2C1P3c
1Lowlander,2Hypoxic,BW28,A1,P3,a,2,93,60,219,26,400,23.25,15,54.75,6.5,61.25,99.5,KK,BW28A1P3a
1Lowlander,1Normoxic,BW38,A1,P1,a,2,114,60,196,28,400,28.5,15,49,7,56,99.5,KK,BW38A1P1a
1Lowlander,2Hypoxic,BW28,A1,P3,c,2,88,62,216,32,400,22,15.5,54,8,62,99.5,KK,BW28A1P3c
1Lowlander,1Normoxic,BW38,A1,P2,a,2,111,62,195,30,400,27.75,15.5,48.75,7.5,56.25,99.5,KK,BW38A1P2a
1Lowlander,2Hypoxic,BW22,C1,P2,a,2,162,63,155,18,400,40.5,15.75,38.75,4.5,43.25,99.5,KK,BW22C1P2a
1Lowlander,1Normoxic,BW38,A1,P1,b,2,163,63,145,27,400,40.75,15.75,36.25,6.75,43,99.5,KK,BW38A1P1b
1Lowlander,1Normoxic,BW38,A1,P2,b,2,123,63,189,23,400,30.75,15.75,47.25,5.75,53,99.5,KK,BW38A1P2b
1Lowlander,2Hypoxic,BW16,B1,P3,c,2,137,64,166,31,400,34.25,16,41.5,7.75,49.25,99.5,KK,BW16B1P3c
1Lowlander,1Normoxic,BW2,C1,P1,a,2,132,64,179,23,400,33,16,44.75,5.75,50.5,99.5,KK,BW2C1P1a
1Lowlander,2Hypoxic,BW21,B1,P1,a,2,164,64,152,18,400,41,16,38,4.5,42.5,99.5,KK,BW21B1P1a
1Lowlander,1Normoxic,BW26,A1,P2,b,2,99,64,201,34,400,24.75,16,50.25,8.5,58.75,99.5,KK,BW26A1P2b
1Lowlander,2Hypoxic,BW28,A1,P2,a,2,117,64,195,22,400,29.25,16,48.75,5.5,54.25,99.5,KK,BW28A1P2a
1Lowlander,1Normoxic,BW2,C1,P3,a,2,108,66,200,24,400,27,16.5,50,6,56,99.5,KK,BW2C1P3a
1Lowlander,1Normoxic,BW2,C1,P1,c,2,109,67,200,22,400,27.25,16.75,50,5.5,55.5,99.5,KK,BW2C1P1c
1Lowlander,2Hypoxic,BW21,B1,P1,b,2,153,67,153,25,400,38.25,16.75,38.25,6.25,44.5,99.5,KK,BW21B1P1b
1Lowlander,2Hypoxic,BW15,A2,P3,c,2,172,68,139,19,400,43,17,34.75,4.75,39.5,99.5,KK,BW15A2P3c
1Lowlander,1Normoxic,BW2,C1,P1,b,2,119,68,197,14,400,29.75,17,49.25,3.5,52.75,99.5,KK,BW2C1P1b
1Lowlander,1Normoxic,BW26,C1,P1,b,2,93,69,209,27,400,23.25,17.25,52.25,6.75,59,99.5,KK,BW26C1P1b
1Lowlander,2Hypoxic,BW28,A1,P2,b,2,92,69,206,31,400,23,17.25,51.5,7.75,59.25,99.5,KK,BW28A1P2b
1Lowlander,2Hypoxic,BW15,A2,P1,a,2,141,71,166,20,400,35.25,17.75,41.5,5,46.5,99.5,KK,BW15A2P1a
1Lowlander,1Normoxic,BW2,C1,P2,a,2,117,72,182,27,400,29.25,18,45.5,6.75,52.25,99.5,KK,BW2C1P2a
1Lowlander,2Hypoxic,BW22,C1,P3,b,2,129,72,176,21,400,32.25,18,44,5.25,49.25,99.5,KK,BW22C1P3b
1Lowlander,2Hypoxic,BW21,B1,P2,c,2,143,73,154,28,400,35.75,18.25,38.5,7,45.5,99.5,KK,BW21B1P2c
1Lowlander,1Normoxic,BW38,A1,P3,a,2,123,74,174,27,400,30.75,18.5,43.5,6.75,50.25,99.5,KK,BW38A1P3a
1Lowlander,2Hypoxic,BW16,B1,P2,a,2,140,75,153,30,400,35,18.75,38.25,7.5,45.75,99.5,KK,BW16B1P2a
1Lowlander,1Normoxic,BW26,A1,P3,a,2,93,75,207,23,400,23.25,18.75,51.75,5.75,57.5,99.5,KK,BW26A1P3a
1Lowlander,2Hypoxic,BW22,C1,P3,a,2,123,76,180,19,400,30.75,19,45,4.75,49.75,99.5,KK,BW22C1P3a
1Lowlander,1Normoxic,BW26,C1,P3,a,2,113,76,181,28,400,28.25,19,45.25,7,52.25,99.5,KK,BW26C1P3a
1Lowlander,1Normoxic,BW26,A1,P1,c,2,123,77,178,20,400,30.75,19.25,44.5,5,49.5,99.5,KK,BW26A1P1c
1Lowlander,1Normoxic,BW26,A1,P2,c,2,114,77,181,26,400,28.5,19.25,45.25,6.5,51.75,99.5,KK,BW26A1P2c
1Lowlander,1Normoxic,BW26,C1,P2,b,2,100,77,201,20,400,25,19.25,50.25,5,55.25,99.5,KK,BW26C1P2b
1Lowlander,1Normoxic,BW2,C1,P2,b,2,117,78,183,20,400,29.25,19.5,45.75,5,50.75,99.5,KK,BW2C1P2b
1Lowlander,1Normoxic,BW26,A1,P1,a,2,77,78,217,26,400,19.25,19.5,54.25,6.5,60.75,99.5,KK,BW26A1P1a
1Lowlander,1Normoxic,BW26,A1,P1,b,2,82,79,215,22,400,20.5,19.75,53.75,5.5,59.25,99.5,KK,BW26A1P1b
1Lowlander,1Normoxic,BW30,C1,P2,b,2,59,79,242,18,400,14.75,19.75,60.5,4.5,65,99.5,KK,BW30C1P2b
1Lowlander,2Hypoxic,BW16,B1,P2,b,2,140,80,147,31,400,35,20,36.75,7.75,44.5,99.5,KK,BW16B1P2b
1Lowlander,1Normoxic,BW26,C1,P3,c,2,89,81,209,19,400,22.25,20.25,52.25,4.75,57,99.5,KK,BW26C1P3c
1Lowlander,2Hypoxic,BW21,B1,P3,c,2,132,82,137,47,400,33,20.5,34.25,11.75,46,99.5,KK,BW21B1P3c
1Lowlander,1Normoxic,BW26,C1,P2,a,2,105,82,189,22,400,26.25,20.5,47.25,5.5,52.75,99.5,KK,BW26C1P2a
1Lowlander,2Hypoxic,BW34,B1,P3,a,2,106,82,187,23,400,26.5,20.5,46.75,5.75,52.5,99.5,KJ,BW34B1P3a
1Lowlander,2Hypoxic,BW21,B1,P2,b,2,140,83,155,20,400,35,20.75,38.75,5,43.75,99.5,KK,BW21B1P2b
1Lowlander,1Normoxic,BW26,A1,P3,b,2,93,83,189,33,400,23.25,20.75,47.25,8.25,55.5,99.5,KK,BW26A1P3b
1Lowlander,1Normoxic,BW30,C1,P2,c,2,52,83,251,12,400,13,20.75,62.75,3,65.75,99.5,KK,BW30C1P2c
1Lowlander,2Hypoxic,BW22,C1,P1,a,2,128,84,164,22,400,32,21,41,5.5,46.5,99.5,KK,BW22C1P1a
1Lowlander,2Hypoxic,BW16,B1,P1,b,2,142,85,142,29,400,35.5,21.25,35.5,7.25,42.75,99.5,KK,BW16B1P1b
1Lowlander,2Hypoxic,BW15,A2,P1,b,2,121,86,165,26,400,30.25,21.5,41.25,6.5,47.75,99.5,KK,BW15A2P1b
1Lowlander,2Hypoxic,BW21,B1,P1,c,2,153,87,126,32,400,38.25,21.75,31.5,8,39.5,99.5,KK,BW21B1P1c
1Lowlander,1Normoxic,BW26,C1,P3,b,2,102,87,196,13,400,25.5,21.75,49,3.25,52.25,99.5,KK,BW26C1P3b
1Lowlander,2Hypoxic,BW15,A2,P3,a,2,128,88,161,21,400,32,22,40.25,5.25,45.5,99.5,KK,BW15A2P3a
1Lowlander,2Hypoxic,BW16,B1,P3,a,2,141,88,150,19,400,35.25,22,37.5,4.75,42.25,99.5,KK,BW16B1P3a
1Lowlander,1Normoxic,BW30,C1,P3,b,2,54,88,242,14,400,13.5,22,60.5,3.5,64,99.5,KK,BW30C1P3b
